9|3|9|4	0	1	0	0	0	0	
5|4|7|1	0	0	0	0	0	0	
5|0|7|1	1	0	0	0	0	0	
9|1|9|3	0	1	2	0	0	0	
6|2|8|1	1	0	0	0	0	0	
8|1|7|1	1	0	0	0	0	0	
8|1|8|3	0	0	1	0	0	0	
9|0|2|9	1	0	0	0	0	0	
9|2|9|1	1.187068013400811	7.277815867104416	1.535116119494773	0.0	0.0	0.0	
9|2|9|2	0.9090909090909091	7.041868724813878	2.0490403660952117	0.0	0.0	0.0	
5|3|6|3	0	1	0	0	0	0	
8|1|6|3	0	0	1	0	0	0	
7|1|8|1	0	0	0	0	0	0	
9|1|6|4	0	2	0	0	0	0	
6|0|4|2	0	0	1	0	0	0	
8|0|8|3	0	0	0	0	0	0	
6|2|8|2	0	0	1	0	0	0	
2|1|2|2	0	1	0	0	0	0	
9|2|2|10	0	6	0	0	0	1	
9|3|8|2	0	2	1	0	0	0	
9|3|6|3	0	0	0	0	0	0	
9|0|7|3	1	0	0	0	0	0	
9|0|5|3	1	0	0	0	0	0	
9|1|5|3	0	2	0	0	0	0	
9|0|4|2	0	0	1	0	0	0	
9|4|6|2	0	1	0	0	0	0	
8|0|8|1	4	0	0	0	0	0	
6|1|9|1	1	0	0	0	0	0	
8|1|4|3	0	0	2	0	0	0	
8|3|9|0	2	0	0	0	0	0	
9|3|5|4	0	0	1	0	0	0	
9|1|7|6	0	4	0	0	0	0	
6|1|5|2	0	1	0	0	0	0	
5|4|8|2	0	1	0	0	0	0	
9|3|7|2	0	3	0	0	0	0	
9|8|9|2	1	0	0	0	0	0	
8|3|9|1	0	1	1	0	0	0	
6|4|8|2	0	1	0	0	0	0	
7|0|9|1	0	0	0	0	0	0	
9|5|9|2	0	1	0	0	0	0	
9|0|7|4	1	0	0	0	0	0	
6|0|9|2	0	0	0	0	0	0	
7|5|8|0	0	1	0	0	0	0	
3|0|2|2	1	0	0	0	0	0	
5|2|8|1	1	1	0	0	0	0	
8|5|8|1	0	0	1	0	0	0	
9|4|7|2	0	2	0	0	0	0	
8|2|8|2	0	0	1	0	0	0	
9|0|4|3	1	0	0	0	0	0	
9|1|2|3	1	1	0	0	0	0	
6|0|7|2	0	0	1	0	0	0	
9|1|9|2	1.2902280357076157	7.156284454139361	1.5534875101530223	0.0	0.0	0.0	
5|0|6|2	1	0	0	0	0	0	
9|2|2|5	0	2	0	0	0	0	
9|3|9|2	1.8181818181818181	7.2727272727272725	0.9090909090909091	0.0	0.0	0.0	
9|4|8|4	0	2	0	0	0	0	
4|0|2|3	0	0	1	0	0	0	
4|1|5|1	1	2	0	0	0	0	
7|6|8|0	1	0	0	0	0	0	
2|0|1|3	0	0	1	0	0	0	
9|6|9|2	0	2	0	0	0	0	
5|3|7|2	0	0	1	0	0	0	
9|2|8|2	3	7	0	0	0	0	
7|2|4|1	0	0	0	0	0	0	
7|1|8|2	0	0	4	0	0	0	
9|2|8|3	0	1	0	0	0	0	
9|2|6|4	0	0	1	0	0	0	
4|0|5|0	1	0	0	0	0	0	
8|1|9|1	3	0	0	0	0	0	
9|1|6|1	1	0	0	0	0	0	
9|0|5|1	1	0	0	0	0	0	
8|1|9|0	7	1	0	0	0	0	
9|0|5|4	1	0	1	0	0	0	
9|1|7|3	0	1	3	0	0	0	
5|1|7|2	0	1	0	0	0	0	
8|3|7|1	0	1	0	0	0	0	
5|2|6|3	0	1	0	0	0	0	
9|1|1|5	0	1	0	0	0	0	
8|7|7|2	0	0	0	0	0	0	
7|2|7|1	0	0	1	0	0	0	
9|1|9|0	0	1	0	0	0	0	
9|2|7|2	3	7	0	0	0	0	
9|2|9|4	0	1	0	0	0	0	
9|4|9|4	0	1	0	0	0	0	
9|3|9|0	1	1	0	0	0	0	
8|6|7|3	0	0	1	0	0	0	
8|6|7|2	1	0	0	0	0	0	
9|3|6|6	0	1	0	0	0	0	
9|1|3|2	0	2	0	0	0	0	
8|2|8|1	0	1	0	0	0	0	
9|3|6|2	0	1	0	0	0	0	
5|3|5|3	0	1	0	0	0	0	
8|3|7|2	0	2	0	0	0	0	
7|1|9|2	0	0	1	0	0	0	
8|2|7|2	0	1	2	0	0	0	
9|0|5|5	0	0	0	0	1	0	
9|0|7|1	1	2	0	0	0	0	
8|3|8|1	0	1	0	0	0	0	
9|5|7|2	1	0	0	0	0	0	
9|1|8|2	1.180093726407379	7.721664786185798	1.0982414874068238	0.0	0.0	0.0	
9|0|3|7	1	0	0	0	0	0	
9|4|9|1	1	2	1	0	0	0	
6|1|8|1	1	3	0	0	0	0	
9|0|9|0	9.999511814149951	0.0004881858500499961	0.0	0.0	0.0	0.0	
9|1|5|4	0	1	0	0	0	0	
6|1|4|1	0	0	0	0	0	0	
9|0|9|1	1	0	0	0	0	0	
7|3|7|0	0	0	0	0	0	0	
5|1|6|3	0	1	0	0	0	0	
9|1|6|2	1	0	1	0	0	0	
9|1|2|4	0	1	0	0	0	0	
9|0|6|2	2	0	0	0	0	0	
9|0|6|3	1	0	1	0	0	0	
9|2|7|3	0	0	2	0	0	0	
6|0|7|1	1	0	0	0	0	0	
5|0|2|4	0	0	1	0	0	0	
9|0|6|1	1	0	0	0	0	0	
9|6|7|3	0	0	1	0	0	0	
9|1|7|2	0	6	1	0	0	0	
7|3|9|0	1	0	0	0	0	0	
9|2|6|6	0	1	0	0	0	0	
7|0|8|1	3	0	0	0	0	0	
8|2|9|1	0	1	0	0	0	0	
9|2|7|1	0	1	1	0	0	0	
9|3|8|1	0	1	0	0	0	0	
6|3|8|2	0	1	0	0	0	0	
7|1|9|1	1	0	0	0	0	0	
9|2|9|0	0	1	0	0	0	0	
5|4|6|3	0	1	0	0	0	0	
8|0|9|1	0	0	0	0	0	0	
8|0|8|2	0	0	4	0	0	0	
8|0|4|3	0	0	1	0	0	0	
8|0|4|2	2	0	0	0	0	0	
9|7|9|2	0	1	0	0	0	0	
2|0|1|2	1	0	0	0	0	0	
9|2|3|3	0	1	0	0	0	0	
9|0|8|2	1	1	5	0	0	0	
8|1|8|2	1	0	1	0	0	0	
9|1|4|4	0	0	1	0	0	0	
9|1|1|4	0	0	0	0	0	0	
2|1|1|2	0	0	0	0	0	0	
5|3|8|2	0	1	0	0	0	0	
9|2|6|3	0	0	1	0	0	0	
9|2|7|6	0	1	0	0	0	0	
8|2|9|0	2	0	0	0	0	0	
8|2|7|1	0	1	0	0	0	0	
9|3|9|1	2.4793388429752063	5.867768595041323	1.652892561983471	0.0	0.0	0.0	
9|1|8|1	3	6	0	0	0	0	
9|2|8|1	3	1	0	0	0	0	
3|1|2|3	0	0	1	0	0	0	
9|5|9|1	0	0	0	0	0	0	
9|1|5|2	2	0	0	0	0	0	
9|2|9|3	1	5	0	0	0	0	
9|2|5|4	0	2	0	0	0	0	
9|1|8|0	0	0	0	0	0	0	
8|1|8|1	5	0	1	0	0	0	
9|1|6|3	0	1	0	0	0	0	
9|0|3|6	1	0	0	0	0	0	
8|0|4|1	2	0	0	0	0	0	
9|0|7|2	5	1	0	0	0	0	
9|1|8|3	2	0	3	0	0	0	
8|2|7|0	1	0	0	0	0	0	
9|2|6|2	0	2	0	0	0	0	
9|9|9|3	0	0	1	0	0	0	
9|1|3|9	0	1	0	0	0	0	
9|3|9|3	0	1	1	0	0	0	
9|1|6|6	0	1	0	0	0	0	
8|1|4|2	0	0	1	0	0	0	
4|2|5|1	0	0	0	0	0	0	
9|0|9|2	0	0	0	0	0	0	
9|2|2|4	1	2	0	0	0	0	
9|0|7|5	1	0	0	0	0	0	
9|3|8|3	1	0	0	0	0	0	
9|2|1|5	0	0	1	0	0	0	
9|4|8|2	0	2	0	0	0	0	
8|1|9|2	0	0	1	0	0	0	
9|0|8|3	1	1	0	0	0	0	
5|0|2|3	1	0	0	0	0	0	
7|1|4|2	0	0	1	0	0	0	
8|0|8|0	1	0	0	0	0	0	
9|4|9|2	0	2	1	0	0	0	
9|1|8|4	0	0	3	0	0	0	
9|5|8|2	0	0	1	0	0	0	
9|1|2|10	0	1	0	0	0	0	
0|2|2|0	0	0	0	0	0	0	
8|0|9|2	0	0	0	0	0	0	
8|0|6|2	1	0	0	0	0	0	
9|0|3|8	1	0	0	0	0	0	
9|2|3|2	1	0	0	0	0	0	
9|0|8|1	7.974855842901513	1.4042228340393317	0.6209213230591554	0.0	0.0	0.0	
9|1|7|1	0	2	0	0	0	0	
4|1|5|2	0	0	1	0	0	0	
9|1|9|1	1.1097850210209657	8.331373497102586	0.5588414818764493	0.0	0.0	0.0	
